RxnIndex,RxnID,meanFlux,stdFlux
Rxn194,3SPYRSPh,0.000164248194174029,0.000720601386421844
Rxn201,4ABUTthi,467.92419857505,168.405107411634
Rxn204,4ABUTtmi,5.2984284385525,23.1176266545405
Rxn209,4MZYMDM,0.338890726891866,5.88027389214956
Rxn230,AABHH,3.50313197401059e-06,7.27372985081248e-05
Rxn231,AACP1819ZS,0.00172023513427991,0.00109718834072674
Rxn232,AACPS1,0.00010546821515867,0.00120691426371957
Rxn233,AACPS3,0.00370986260538826,0.00116598470046585
Rxn234,AACPS4,8.07239605363874e-05,0.0010254373616849
Rxn235,AACPS5,7.8673040805513e-05,0.00116311327660624
Rxn236,AACPS6,0.000158810885070553,0.00119404944821962
Rxn239,AAPT,0.00034554159615694,0.00739925291872881
Rxn273,ABOR,0.000140128570146718,0.000952056328820342
Rxn274,ACACT,0.0131128106037468,0.0117598420551153
Rxn301,ACALD,2.16061243672933,0.464891241383015
Rxn302,ACALDh,0.00140924087175973,0.009410899362784
Rxn342,ACDHi,0.0230098444188235,0.0662567317199426
Rxn343,ACDHmi,0.630710349770964,0.415821394109837
Rxn356,ACOA100OR,0.000328192645452023,0.00119416757366937
Rxn357,ACOA120OR,0.00032819264760425,0.00119416757367027
Rxn358,ACOA140OR,0.000328192654953995,0.00119416757367276
Rxn359,ACOA160OR,0.000328192649458451,0.00119416757366177
Rxn360,ACOA40OR,0.000177458620337376,0.000768043497214086
Rxn361,ACOA60OR,0.000328192660541486,0.00119416757366395
Rxn362,ACOA80OR,0.000328192658140424,0.00119416757366425
Rxn615,ACOAR2m,0.00967948979415409,0.0012223807916678
Rxn616,ACOAR3m,0.00967948978642845,0.00122238079167299
Rxn617,ACOAR4m,0.00967948978452925,0.0012223807916854
Rxn618,ACOAR5m,0.00967948978103074,0.00122238079168803
Rxn619,ACOAR6m,0.00967948977160759,0.00122238079169601
Rxn620,ACOAR7m,0.00967948973598827,0.00122238079170834
Rxn645,ACPCS,9.8087948978928e-05,0.000321569146029504
Rxn653,ACPT16018111Z,1.97747026916264e-06,3.15354754853085e-13
Rxn654,ACPT1601819Z,0.00018457429979966,2.84427574694275e-11
Rxn655,ACPT18111Z18111Z,1.91011146097331e-06,2.97883436522872e-13
Rxn656,ACPT18111Z1819Z,2.43814850470447e-05,3.78288086665025e-12
Rxn657,ACPT1819Z18111Z,1.2466311777094e-05,1.91018374694933e-12
Rxn658,ACPT1819Z1819Z,0.000127075651015707,1.95714783228821e-11
Rxn680,ACSERthi,0.00144788148133724,0.00300187924726675
Rxn681,ACSERtmi,0.00113700540801902,0.00348421722273945
Rxn703,ADNDA,6.38826911161778e-06,0.000198843551934733
Rxn708,ADPA,0.00114289569062153,0.0125279763452099
Rxn713,ADRH,1.34422913565809e-05,0.000324972781833814
Rxn729,AGDI,1.63952679920434e-05,0.000207023176863322
Rxn813,ALCDH_nadp_hi,5.96216463369761e-05,0.00103275495812455
Rxn814,ALCDH_nadp_i,0.0355986349594054,0.117144476435567
Rxn815,ALCDH_pqq_x,2.26245546597797,0.522639981406695
Rxn816,ALCDHi,0.0553414165760931,0.118911761376179
Rxn817,ALCDHmi,1.52745941475894,0.143909061042679
Rxn818,ALDDH,0.0109029777135676,0.0409853654346727
Rxn819,ALDDHm,0.00462769726268778,0.0219991397572563
Rxn848,AMP5N,0.000129159183658919,0.00172175108605738
Rxn868,ANTPPT,0.00026416423500594,4.0176224189436e-11
Rxn917,ARDC,1.63952675179194e-05,0.000207023176861993
Rxn918,ARGD,0.248923645809478,0.244632623189535
Rxn919,ARGDI,2.70520063290017e-05,0.000486324689186172
Rxn920,ARGDh,0.000364053840376758,0.00126966698685718
Rxn931,AROAT,0.00028326015308706,0.000197216401582237
Rxn932,AROAT2,0.00123439129918452,0.000204559177964579
Rxn933,AROAT2h,5.10269711395439e-06,7.26077807525376e-05
Rxn934,AROATh,3.59767341428605e-05,0.000155696592193726
Rxn965,ASCBOR,0.000250987731733086,0.0035708878159163
Rxn966,ASCBOR2,0.0117919180999804,0.0439865243697103
Rxn1042,ATAH_co2,7.47206635770227e-10,7.11811737641427e-09
Rxn1099,ATPM_NGAM,0.182999999999993,2.58135732565343e-15
Rxn1100,ATPPH,0.000125783770825758,0.004479095848117
Rxn1101,ATPPHm,0.00267195582912103,0.0167151135136806
Rxn1114,ATP_3h_th,0.000561890503451076,0.00355454778575939
Rxn1115,ATP_3h_tm,0.0156589749405094,0.0508496338313238
Rxn1116,ATS,1.93893754295254e-05,0.000236327776061668
Rxn1122,AUNOR,5.73022846257905e-06,1.38448461203194e-12
Rxn1127,AUS,5.73022998032789e-06,1.37961401396017e-12
Rxn1154,BCTA_val,0.000130186143920859,0.000672198674501453
Rxn1155,BCTA_val_h,0.00361749456630364,0.00294490559718125
Rxn1162,BDMT,0.00140835568712086,8.60463946792766e-06
Rxn1163,BFFS,0.000712932997307466,0.00697795002482325
Rxn1177,BUPN,1.30823394549793e-08,1.06945341930177e-08
Rxn1196,CAT,0.00673628580468165,0.0337089537555498
Rxn1197,CBL,0.000463652735673577,1.11805420265934e-08
Rxn1200,CDDA,7.49510945504582e-05,0.0011680123801412
Rxn1211,CDPPH,0.000234468930415941,0.00367787148114866
Rxn1213,CGDP,1.33407548784013e-07,2.2822585897898e-06
Rxn1220,CHLDA1tu,0.00149412987932468,0.00953431545492471
Rxn1221,CHLDA2tu,0.00149412988405146,0.00953431545493038
Rxn1240,CMP,0.00250362927013357,0.010432379495881
Rxn1241,CMPA,1.63952692464213e-05,0.000207023176861579
Rxn1250,CO2th,0.000259395971122426,0.00194277892818868
Rxn1255,COA1819ZD9DS,0.00435423046778409,0.00020068745370601
Rxn1276,CPPPGOR,4.52100970190504e-07,1.05260605709457e-05
Rxn1281,CS,1.99162107937898,0.296180747955988
Rxn1282,CSDA,1.34536334471695e-05,0.000319923660263941
Rxn1284,CSx,5.61376480016091e-09,3.22277322927356e-09
Rxn1285,CTPH,0.000945826264130803,0.011214572539957
Rxn1298,CYRH,1.34536339509933e-05,0.000319923660264486
Rxn1330,CYSTBL,0.00109110089787139,0.00066066097017411
Rxn1346,DAD2PT,0.000120726609369225,0.00419978802497919
Rxn1520,DBTS,5.13879458389003e-08,1.83192750218048e-13
Rxn1525,DCMP,0.000232209002868041,0.00596412954110847
Rxn1536,DCYTPT,0.000232209053592241,0.00596412954165799
Rxn1539,DGDGD4DS1819Z1634Z7Z10Z,0.0005178250132859,0.000149094792417033
Rxn1540,DGDGD4DS1829Z12Z1634Z7Z10Z,0.000167279793127882,0.00011202585511802
Rxn1541,DGDGD4DS1839Z12Z15Z1634Z7Z10Z,0.000109735722279455,9.00465550562868e-05
Rxn1542,DGDGD4DS1839Z12Z15Z1644Z7Z10Z13Z,0.000346959972995631,0.000121884168111741
Rxn1667,DGSNPT,0.000168193673446267,0.0046214775049666
Rxn1735,DHFR2i,1.07079545329876e-05,4.52452124676769e-06
Rxn1736,DHFRi,1.72957910272233e-05,4.52450033182605e-06
Rxn1742,DHPAH,5.73022872632715e-06,1.38596936515919e-12
Rxn1803,DOLDPP,0.00140835568836914,8.60463947233635e-06
Rxn1806,DOLPGT3,0.00140835569250204,8.60463946821195e-06
Rxn1807,DOLPMT1,0.00140835568313988,8.60463946663284e-06
Rxn1808,DOLPMT2,0.0014083556835782,8.6046394646262e-06
Rxn1817,DTNH,0.00137518927360757,0.0144734234718177
Rxn1818,DTPH,0.000317517823758348,0.00423644797232382
Rxn1855,D_LACti,0.0100680785231078,0.0373984585213779
Rxn1882,EAR40y,0.000106658895559644,0.000219307679987065
Rxn1891,ECH_3hibutcoa,1.47981986627432e-09,2.51130142745705e-09
Rxn1894,ECH_3hmbcoa,8.89760327205781e-05,0.000419701799592811
Rxn1922,ECOAR,0.00486037910603668,0.000207044624035928
Rxn1923,EGMEACPR,5.1370166379507e-08,7.16758694726366e-13
Rxn1930,EPMEACPR,5.13813988807402e-08,6.83621708805254e-13
Rxn1931,ETF,0.202635819990373,0.2397676582704
Rxn1933,ETHAK,0.000189012588029319,0.000104411360679956
Rxn1939,ETOHti,0.00972381614541927,0.0230690371900687
Rxn1944,F6PBth,0.000143783331149156,0.0012599923919828
Rxn1945,F6P_pi_thi,0.0482894897714678,0.0649299383625442
Rxn1951,FA160COAabcp,0.000328192646914015,0.00119416757365813
Rxn1971,FA40COAabcp,0.000150734062024901,0.000914765980247157
Rxn1975,FACOAE160,0.00276783167270003,0.000529362534348213
Rxn1976,FACOAE180,0.000506148642332457,0.000119857039896092
Rxn1977,FACOAE1819Z,0.00126404166144676,0.000270036375436101
Rxn1978,FACOAE1829Z12Z,4.78318039555433e-07,1.18158959299369e-05
Rxn1979,FACOAE1836Z9Z12Z,6.22151727709056e-07,1.3308188284223e-05
Rxn1980,FACOAE1839Z12Z15Z,7.18198403194498e-07,1.4521362799895e-05
Rxn2005,FBPPH,0.000208689982069655,0.0059187599616956
Rxn2010,FE2GTPabc,0.00127055871937049,0.0135146342994989
Rxn2011,FE2th,0.00127055871994549,0.013514634299497
Rxn2012,FORthi,0.0256532090507788,0.0453787827910919
Rxn2013,FORti,0.0457211814453817,0.0740595321239962
Rxn2014,FORtmi,0.0271995622329409,0.0575483619696153
Rxn2037,FTHDF,0.000122262025567402,0.00242594774655161
Rxn2039,FTHFO,0.000277116929588307,0.00214192585383205
Rxn2046,G12MT3,0.00140835568404918,8.60463946826661e-06
Rxn2047,G12MT4,0.00140835568447963,8.60463946402466e-06
Rxn2075,G3PD3,0.00178251794563037,0.000229683688786096
Rxn2080,G6PADH,0.00413384082149603,0.00371111720044495
Rxn2107,GALK,2.53896912059705e-05,0.000516310455196721
Rxn2111,GALOR,9.55854968503624e-05,0.000961502270340127
Rxn2112,GALTLOR,9.55855099013795e-05,0.000961502270331057
Rxn2113,GALTLtm,9.55855103754129e-05,0.00096150227031786
Rxn2116,GALm,0.00589307915908384,0.00170424696222461
Rxn2119,GAM,0.00947767968042717,0.0254831448223175
Rxn2121,GAPDH_nadp,0.140730721811255,0.0209782096025257
Rxn2137,GCLDH,9.96697117019809e-09,1.11405489334627e-08
Rxn2139,GCPN,0.00207289032509738,0.011601062827732
Rxn2140,GDH,0.00117104202675297,0.0143804084098891
Rxn2141,GDH_nadp,0.0024427165590628,0.0102615732635388
Rxn2143,GDPA,0.000750005543404539,0.00966908547000225
