RxnIndex,RxnID,meanFlux,stdFlux
Rxn2666,LALDD2,5.21173291621199e-12,5.9477646620559e-13
Rxn2668,LCYA,1.36862660957048e-06,2.38039744530833e-12
Rxn2670,LCYB,1.57710982149445e-06,2.05905292040949e-12
Rxn2676,LCYG,1.57710550878941e-06,2.17324934520702e-12
Rxn2678,LDHm,0.0313038687875583,0.13449764846035
Rxn2684,LEUt,0.00321287962352908,0.0119159698638521
Rxn2686,LEUth,5.45764444024472e-13,3.33080883946364e-13
Rxn2688,LEUtm,2.11951805536008e-12,3.80237479263899e-13
Rxn2692,LIDOt,8.29653872302818e-13,4.6544282393484e-13
Rxn2696,LLDHh,6.80743606319447e-12,6.99589837453015e-13
Rxn2698,LLDHm,0.0183941134269147,0.106710401062528
Rxn2701,LNLCth,1.52863510403706e-12,4.16939350463321e-13
Rxn2719,LS,4.80534624093701e-09,9.54796263515854e-09
Rxn2721,LUTH,3.70670293081462e-07,2.4539454553173e-12
Rxn2728,M5TRPH,0.00114285497902528,0.000868896110483912
Rxn2737,MAKI,0.00484734265992941,0.000176844588002849
Rxn2739,MALAKGtm,154.717088309197,129.574385747719
Rxn2741,MALCITtm,940.266994417847,98.8355852386722
Rxn2745,MALICITtm,897.482590950465,113.708953247862
Rxn2748,MALOAAtm,936.375944005667,96.0733782360135
Rxn2752,MAL_na_th,319.935982504119,145.559914514557
Rxn2754,MAL_na_tm,862.828416798307,129.237261746484
Rxn2756,MANth,0.00484734266378093,0.000176844587972644
Rxn2778,MDHASCBL,0.190759646366653,0.386331964648966
Rxn2791,MDUMT,0.000157173116521939,1.19673148685555e-12
Rxn2793,MEGLYXYLt,1.32702688745026e-12,2.83459893660651e-13
Rxn2795,MEOHt,1.44249396304164e-07,2.80404384533995e-12
Rxn2797,MEOHtm,1.44248264238232e-07,1.01923490498827e-12
Rxn2799,MERCPPYRST,0.00190778087284417,0.0107090407053163
Rxn2801,MERGTROLR,5.61191052226564e-12,7.0402245475287e-13
Rxn2803,METHFth,4.07909090815573e-11,2.93176822631962e-12
Rxn2805,METHFtm,2.61590405019394e-12,1.91363508337331e-12
Rxn2807,METHFtx,1.96908219773198e-08,2.58426569470168e-09
Rxn2815,METth,9.20897814274196e-06,9.73015201430376e-05
Rxn2817,METtm,0.00222189821870366,0.000176119649388964
Rxn2823,MG2t,0.00159960363778465,8.94267657440208e-12
Rxn2825,MG2th,0.00159960363929167,9.23251568009697e-12
